Run,ntree,replace,mtry,nodesize,maxnodes,classwt,cutoff
1,100,1,2,11,10,0.5,0.8
2,550,0,2,1,10,0.5,0.2
3,1000,1,4,1,10,0.5,0.2
4,1000,1,6,1,1000,0.5,0.8
5,1000,0,6,1,1000,0.9,0.2
6,100,0,2,1,1000,0.5,0.8
7,1000,0,2,6,10,0.9,0.8
8,100,0,2,11,10,0.9,0.2
9,100,1,6,1,10,0.7,0.8
10,100,0,6,1,10,0.9,0.5
11,100,0,4,11,1000,0.9,0.8
12,1000,1,2,11,1000,0.5,0.5
13,100,1,6,6,1000,0.5,0.2
14,550,0,4,6,505,0.7,0.5
15,100,0,6,11,505,0.5,0.2
16,1000,0,6,11,10,0.5,0.8
17,1000,0,2,11,1000,0.7,0.2
18,1000,1,6,11,10,0.9,0.2
19,100,1,2,1,1000,0.9,0.2
20,1000,1,2,1,505,0.9,0.8
21,550,1,4,6,505,0.7,0.5
22,550,1,6,11,1000,0.9,0.8
